Zmienna;Jednostka terytorialna;Jednostka;Rok;Miesiąc;Wartość
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;11;4341,08
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2016;12;4327,51
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;1;4367,8
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;2;4393,32
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;3;4427,3
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;4;4443,69
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;5;4467,39
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;6;4509,28
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;7;4521,82
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;8;4560,76
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;9;4580,41
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;10;4610,37
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;11;4616,85
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2017;12;4679,4
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;1;4669,47
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;2;4690,88
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;3;4748,72
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;4;4770,95
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;5;4794,56
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;6;4844,08
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;7;4838,06
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;8;4867,24
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;9;4905,84
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;10;4945,31
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;11;4973,63
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2018;12;4978,51
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;1;5002,02
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;2;5026,08
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;3;5049,17
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;4;5089,2
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;5;5144,72
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;6;5149,28
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;7;5179,63
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;8;5213,35
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;9;5213,1
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;10;5246,45
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;11;5279,58
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2019;12;5281,76
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;1;5354,46
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;2;5398,86
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;3;5348,83
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;4;5178,43
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;5;5239,59
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;6;5307,68
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;7;5378,34
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;8;5432,85
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;9;5482,7
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;10;5521,34
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;11;5530,87
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2020;12;5584,77
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;1;5644,36
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;2;5625,35
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;3;5733,34
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;4;5697,18
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;5;5778,54
